Date,y_Open,y_High,y_Low,y_Close,y_Vix,y_Dow,y_Tech,Close,Volume
03-01-2017,2251.610107,2253.580078,2233.620117,2238.830078,14.04,19762.59961,4863.620117,2257.830078,3770530000
04-01-2017,2251.570068,2263.879883,2245.129883,2257.830078,12.85,19881.75977,4911.330078,2270.75,3764890000
05-01-2017,2261.600098,2272.820068,2261.600098,2270.75,11.85,19942.16016,4937.209961,2269,3761820000
06-01-2017,2268.179932,2271.5,2260.449951,2269,11.67,19899.28906,4964.950195,2276.97998,3339890000
09-01-2017,2271.139893,2282.100098,2264.060059,2276.97998,11.32,19963.80078,5007.080078,2268.899902,3217610000
10-01-2017,2273.590088,2275.48999,2268.899902,2268.899902,11.56,19887.38086,5024.899902,2268.899902,3638790000
11-01-2017,2269.719971,2279.27002,2265.27002,2268.899902,11.49,19855.5293,5035.169922,2275.320068,3620410000
12-01-2017,2268.600098,2275.320068,2260.830078,2275.320068,11.26,19954.2793,5050.209961,2270.439941,3462130000
13-01-2017,2271.139893,2271.780029,2254.25,2270.439941,11.54,19891,5041.430176,2274.639893,3081270000
17-01-2017,2272.73999,2278.679932,2271.51001,2274.639893,11.23,19885.73047,5059.509766,2267.889893,3584990000
18-01-2017,2269.139893,2272.080078,2262.810059,2267.889893,11.87,19826.76953,5044.649902,2271.889893,3315250000
19-01-2017,2269.139893,2272.01001,2263.350098,2271.889893,12.48,19804.7207,5055.850098,2263.689941,3165970000
20-01-2017,2271.899902,2274.330078,2258.409912,2263.689941,12.78,19732.40039,5051.169922,2271.310059,3524970000
23-01-2017,2269.959961,2276.959961,2265.01001,2271.310059,11.54,19827.25,5063.200195,2265.199951,3152710000
24-01-2017,2267.780029,2271.780029,2257.02002,2265.199951,11.77,19799.84961,5065.700195,2280.070068,3810960000
25-01-2017,2267.879883,2284.629883,2266.679932,2280.070068,11.07,19912.71094,5101.060059,2298.370117,3846020000
26-01-2017,2288.879883,2299.550049,2288.879883,2298.370117,10.81,20068.50977,5151.470215,2296.679932,3610360000
27-01-2017,2298.629883,2300.98999,2294.080078,2296.679932,10.63,20100.91016,5156.919922,2294.689941,3135890000
30-01-2017,2299.02002,2299.02002,2291.620117,2294.689941,10.58,20093.7793,5168.060059,2280.899902,3591270000
31-01-2017,2286.01001,2286.01001,2268.040039,2280.899902,11.88,19971.13086,5129.330078,2278.870117,4087450000
01-02-2017,2274.02002,2279.090088,2267.209961,2278.870117,11.99,19864.08984,5116.77002,2279.550049,3916610000
02-02-2017,2285.590088,2289.139893,2272.439941,2279.550049,11.81,19890.93945,5152.689941,2280.850098,3807710000
03-02-2017,2276.689941,2283.969971,2271.649902,2280.850098,11.93,19884.91016,5147.700195,2297.419922,3597970000
06-02-2017,2288.540039,2298.310059,2287.879883,2297.419922,10.97,20071.46094,5161.600098,2292.560059,3109050000
07-02-2017,2294.280029,2296.179932,2288.570068,2292.560059,11.37,20052.41992,5167.959961,2293.080078,3448690000
08-02-2017,2295.870117,2299.399902,2290.159912,2293.080078,11.29,20090.28906,5185.879883,2294.669922,3609740000
09-02-2017,2289.550049,2295.909912,2285.379883,2294.669922,11.45,20054.33984,5196.580078,2307.870117,3677940000
10-02-2017,2296.699951,2311.080078,2296.610107,2307.870117,10.88,20172.40039,5212.160156,2316.100098,3475020000
13-02-2017,2312.27002,2319.22998,2311.100098,2316.100098,10.85,20269.36914,5226.689941,2328.25,3349730000
14-02-2017,2321.719971,2331.580078,2321.419922,2328.25,11.07,20412.16016,5256.819824,2337.580078,3520910000
15-02-2017,2326.120117,2337.580078,2322.169922,2337.580078,10.74,20504.41016,5271.069824,2349.25,3775590000
16-02-2017,2335.580078,2351.300049,2334.810059,2349.25,11.97,20611.85938,5302.390137,2347.219971,3672370000
17-02-2017,2349.639893,2351.310059,2338.870117,2347.219971,11.76,20619.76953,5300.640137,2351.159912,3513060000
21-02-2017,2343.01001,2351.159912,2339.580078,2351.159912,11.49,20624.05078,5324.720215,2365.379883,3579780000
22-02-2017,2354.909912,2366.709961,2354.909912,2365.379883,11.57,20743,5350.72998,2362.820068,3468670000
23-02-2017,2361.110107,2365.129883,2358.340088,2362.820068,11.74,20775.59961,5352.129883,2363.810059,4015260000
24-02-2017,2367.5,2368.26001,2355.090088,2363.810059,11.71,20810.32031,5332.370117,2367.340088,3831570000
27-02-2017,2355.72998,2367.340088,2352.870117,2367.340088,11.47,20821.75977,5343.310059,2369.75,3582610000
28-02-2017,2365.22998,2371.540039,2361.870117,2369.75,12.09,20837.43945,5347.549805,2363.639893,4210140000
01-03-2017,2366.080078,2367.790039,2358.959961,2363.639893,12.92,20812.24023,5330.310059,2395.959961,4345180000
02-03-2017,2380.129883,2400.97998,2380.129883,2395.959961,12.54,21115.55078,5390.990234,2381.919922,3821320000
03-03-2017,2394.75,2394.75,2380.169922,2381.919922,11.81,21002.9707,5363.259766,2383.120117,3555260000
06-03-2017,2380.919922,2383.889893,2375.389893,2383.120117,10.96,21005.71094,5373.47998,2375.310059,3232700000
07-03-2017,2375.22998,2378.800049,2367.97998,2375.310059,11.24,20954.33984,5360.310059,2368.389893,3518390000
08-03-2017,2370.73999,2375.120117,2365.51001,2368.389893,11.45,20924.75977,5351.279785,2362.97998,3812100000
09-03-2017,2369.810059,2373.090088,2361.01001,2362.97998,11.86,20855.73047,5359.810059,2364.870117,3716340000
10-03-2017,2363.48999,2369.080078,2354.540039,2364.870117,12.3,20858.18945,5363.97998,2372.600098,3432950000
13-03-2017,2372.52002,2376.860107,2363.040039,2372.600098,11.66,20902.98047,5385.899902,2373.469971,3133900000
14-03-2017,2371.560059,2374.419922,2368.52002,2373.469971,11.35,20881.48047,5394.569824,2365.449951,3172630000
15-03-2017,2368.550049,2368.550049,2358.179932,2365.449951,12.3,20837.36914,5382.169922,2385.26001,3906840000
16-03-2017,2370.340088,2390.01001,2368.939941,2385.26001,11.63,20950.09961,5416.25,2381.379883,3365660000
17-03-2017,2387.709961,2388.100098,2377.179932,2381.379883,11.21,20934.55078,5412.080078,2378.25,5178040000
20-03-2017,2383.709961,2385.709961,2377.639893,2378.25,11.28,20914.61914,5408.759766,2373.469971,3054930000
21-03-2017,2378.23999,2379.550049,2369.659912,2373.469971,11.34,20905.85938,5413.310059,2344.02002,4265590000
22-03-2017,2379.320068,2381.929932,2341.899902,2344.02002,12.47,20668.00977,5332.529785,2348.449951,3572730000
23-03-2017,2343,2351.810059,2336.449951,2348.449951,12.81,20661.30078,5367.549805,2345.959961,3260600000
24-03-2017,2345.969971,2358.919922,2342.129883,2345.959961,13.12,20656.58008,5355.140137,2343.97998,2975130000
27-03-2017,2350.419922,2356.219971,2335.73999,2343.97998,12.96,20596.7207,5364,2341.590088,3240230000
28-03-2017,2329.110107,2344.899902,2322.25,2341.590088,12.5,20550.98047,5374.27002,2358.570068,3367780000
29-03-2017,2339.790039,2363.780029,2337.629883,2358.570068,11.53,20701.5,5407.209961,2361.129883,3106940000
30-03-2017,2356.540039,2363.360107,2352.939941,2361.129883,11.42,20659.32031,5430.27002,2368.060059,3158420000
31-03-2017,2361.310059,2370.419922,2358.580078,2368.060059,11.54,20728.49023,5439.740234,2362.719971,3354110000
03-04-2017,2364.820068,2370.350098,2362.600098,2362.719971,12.37,20663.2207,5436.22998,2358.840088,3416400000
04-04-2017,2362.340088,2365.870117,2344.72998,2358.840088,12.38,20650.21094,5432.200195,2360.159912,3206240000
05-04-2017,2354.76001,2360.530029,2350.719971,2360.159912,11.79,20689.24023,5440.410156,2352.949951,3770520000
06-04-2017,2366.590088,2378.360107,2350.52002,2352.949951,12.89,20648.15039,5418.52002,2357.48999,3201920000
07-04-2017,2353.790039,2364.159912,2348.899902,2357.48999,12.39,20662.94922,5420.879883,2355.540039,3053150000
10-04-2017,2356.590088,2363.76001,2350.73999,2355.540039,12.87,20656.09961,5418.370117,2357.159912,2785410000
11-04-2017,2357.159912,2366.370117,2351.5,2357.159912,14.05,20658.01953,5421.680176,2353.780029,3117420000
12-04-2017,2353.919922,2355.219971,2337.25,2353.780029,15.07,20651.30078,5398.399902,2344.929932,3196950000
13-04-2017,2352.149902,2352.719971,2341.179932,2344.929932,15.77,20591.85938,5377.029785,2328.949951,3143890000
17-04-2017,2341.97998,2348.26001,2328.949951,2328.949951,15.96,20453.25,5353.589844,2349.01001,2824710000
18-04-2017,2332.620117,2349.139893,2332.51001,2349.01001,14.66,20636.91992,5399.200195,2342.189941,3269840000
19-04-2017,2342.530029,2348.350098,2334.540039,2342.189941,14.42,20523.2793,5391.660156,2338.169922,3519900000
20-04-2017,2346.790039,2352.629883,2335.050049,2338.169922,14.93,20404.49023,5399.640137,2355.840088,3647420000
21-04-2017,2342.689941,2361.370117,2340.909912,2355.840088,14.15,20578.71094,5443.529785,2348.689941,3503360000
24-04-2017,2354.73999,2356.179932,2344.51001,2348.689941,14.63,20547.75977,5442.049805,2374.149902,3690650000
25-04-2017,2370.330078,2376.97998,2369.189941,2374.149902,10.84,20763.89063,5508.029785,2388.610107,3995240000
26-04-2017,2381.51001,2392.47998,2381.149902,2388.610107,10.76,20996.11914,5548.189941,2387.449951,4105920000
27-04-2017,2388.97998,2398.159912,2386.780029,2387.449951,10.85,20975.08984,5541.089844,2388.77002,4098460000
28-04-2017,2389.699951,2392.100098,2382.679932,2388.77002,10.36,20981.33008,5571.279785,2384.199951,3718270000
01-05-2017,2393.679932,2393.679932,2382.360107,2384.199951,10.82,20940.50977,5583.529785,2388.330078,3199240000
02-05-2017,2388.5,2394.48999,2384.830078,2388.330078,10.11,20913.46094,5629.629883,2391.169922,3813680000
03-05-2017,2391.050049,2392.929932,2385.820068,2391.169922,10.59,20949.89063,5644.069824,2388.129883,3893990000
04-05-2017,2386.5,2389.820068,2379.75,2388.129883,10.68,20957.90039,5625.160156,2389.52002,4362540000
05-05-2017,2389.790039,2391.429932,2380.350098,2389.52002,10.46,20951.4707,5626.319824,2399.290039,3540140000
08-05-2017,2392.370117,2399.290039,2389.379883,2399.290039,10.57,21006.93945,5646.089844,2399.379883,3429440000
09-05-2017,2399.939941,2401.360107,2393.919922,2399.379883,9.77,21012.2793,5659.069824,2396.919922,3653590000
10-05-2017,2401.580078,2403.870117,2392.439941,2396.919922,9.96,20975.7793,5678.310059,2399.629883,3643530000
11-05-2017,2396.790039,2399.73999,2392.790039,2399.629883,10.21,20943.10938,5681.680176,2394.439941,3727420000
12-05-2017,2394.840088,2395.719971,2381.73999,2394.439941,10.6,20919.41992,5674.220215,2390.899902,3305630000
15-05-2017,2392.439941,2392.439941,2387.189941,2390.899902,10.4,20896.60938,5686.810059,2402.320068,3473600000
16-05-2017,2393.97998,2404.050049,2393.939941,2402.320068,10.42,20981.93945,5704.47998,2400.669922,3420790000
17-05-2017,2404.550049,2405.77002,2396.050049,2400.669922,10.65,20979.75,5724.439941,2357.030029,4163000000
18-05-2017,2382.949951,2384.870117,2356.209961,2357.030029,15.59,20606.92969,5580.549805,2365.719971,4319420000
19-05-2017,2354.689941,2375.73999,2352.719971,2365.719971,14.66,20663.01953,5626.310059,2381.72998,3825160000
22-05-2017,2371.370117,2389.060059,2370.429932,2381.72998,12.04,20804.83984,5651.560059,2394.02002,3172830000
23-05-2017,2387.209961,2395.459961,2386.919922,2394.02002,10.93,20894.83008,5699.399902,2398.419922,3213570000
24-05-2017,2397.040039,2400.850098,2393.879883,2398.419922,10.72,20937.91016,5703.350098,2404.389893,3389900000
25-05-2017,2401.409912,2405.580078,2397.98999,2404.389893,10.02,21012.41992,5730.299805,2415.070068,3535390000
26-05-2017,2409.540039,2418.709961,2408.01001,2415.070068,9.99,21082.94922,5778.370117,2415.820068,2805040000
30-05-2017,2414.5,2416.679932,2412.199951,2415.820068,9.81,21080.2793,5788.359863,2412.909912,3203160000
31-05-2017,2411.669922,2415.26001,2409.429932,2412.909912,10.38,21029.4707,5794.629883,2411.800049,4516110000
01-06-2017,2415.629883,2415.98999,2403.590088,2411.800049,10.41,21008.65039,5788.799805,2430.060059,3857140000
02-06-2017,2415.649902,2430.060059,2413.540039,2430.060059,9.89,21144.17969,5816.509766,2439.070068,3461680000
05-06-2017,2431.280029,2440.22998,2427.709961,2439.070068,9.75,21206.28906,5881.459961,2436.100098,2912600000
06-06-2017,2437.830078,2439.550049,2434.320068,2436.100098,10.07,21184.03906,5878.120117,2429.330078,3357840000
07-06-2017,2431.919922,2436.209961,2428.120117,2429.330078,10.45,21136.23047,5856.77002,2433.139893,3572300000
08-06-2017,2432.030029,2435.280029,2424.75,2433.139893,10.39,21173.68945,5877.589844,2433.790039,3728860000
09-06-2017,2434.27002,2439.27002,2427.939941,2433.790039,10.16,21182.5293,5885.299805,2431.77002,4027340000
12-06-2017,2436.389893,2446.199951,2415.699951,2431.77002,10.7,21271.9707,5741.939941,2429.389893,4027750000
13-06-2017,2425.879883,2430.379883,2419.969971,2429.389893,11.46,21235.66992,5708.180176,2440.350098,3275500000
14-06-2017,2434.149902,2441.48999,2431.280029,2440.350098,10.42,21328.4707,5751.819824,2437.919922,3555590000
15-06-2017,2443.75,2443.75,2428.340088,2437.919922,10.64,21374.56055,5727.069824,2432.459961,3353050000
16-06-2017,2424.139893,2433.949951,2418.530029,2432.459961,10.9,21359.90039,5700.890137,2433.149902,5284720000
19-06-2017,2431.23999,2433.149902,2422.879883,2433.149902,10.38,21384.2793,5681.47998,2453.459961,3264700000
